power,memory Used,u_gpu,u_memory
21.07,0.0,0.0,0.0
154.53,76.0,48.0,40.0
170.57,76.0,100.0,85.0
171.34,76.0,100.0,85.0
171.24,76.0,100.0,85.0
172.3,76.0,100.0,85.0
172.39,76.0,100.0,85.0
172.58,76.0,100.0,85.0
172.01,76.0,100.0,85.0
172.39,76.0,100.0,85.0
172.49,76.0,100.0,85.0
172.59,76.0,100.0,85.0
172.3,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.39,76.0,100.0,85.0
171.53,76.0,100.0,85.0
172.59,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.68,76.0,100.0,85.0
171.72,76.0,100.0,85.0
172.59,76.0,100.0,85.0
172.97,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.2,76.0,100.0,85.0
172.97,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.78,76.0,100.0,85.0
172.87,76.0,100.0,85.0
171.43,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.97,76.0,100.0,85.0
173.07,76.0,100.0,85.0
172.49,76.0,100.0,85.0
172.97,76.0,100.0,85.0
172.97,76.0,100.0,85.0
172.97,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.78,76.0,100.0,85.0
172.87,76.0,100.0,85.0
172.11,76.0,100.0,85.0
172.97,76.0,100.0,85.0
172.78,76.0,100.0,85.0
173.07,76.0,100.0,85.0
172.78,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.78,76.0,100.0,85.0
171.53,76.0,100.0,85.0
172.97,76.0,100.0,85.0
173.07,76.0,100.0,85.0
172.97,76.0,100.0,85.0
172.49,76.0,100.0,85.0
172.87,76.0,100.0,85.0
172.87,76.0,100.0,85.0
172.87,76.0,100.0,85.0
172.11,76.0,100.0,85.0
172.68,76.0,100.0,85.0
172.97,76.0,100.0,85.0
173.07,76.0,100.0,85.0
172.68,76.0,100.0,85.0
